id,exam_tags,subject,topic,difficulty,en,hi,opt_a_en,opt_a_hi,opt_b_en,opt_b_hi,opt_c_en,opt_c_hi,opt_d_en,opt_d_hi,ans,exp_en,exp_hi,set_assigned,status,date_added,site_synced,sync_hash,img,opt_a_img,opt_b_img,opt_c_img,opt_d_img
92000,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹45,000 crore, what is the amount for Insurance?","यदि कुल सदस्यता ₹45,000 करोड़ है, तो Insurance की राशि क्या है?","₹4,500 crore",,"₹6,750 crore",,₹0 crore,,"₹2,250 crore",,D,"Calculation: 5% of 45,000 = ₹2,250 crore","गणना: 45,000 का 5% = ₹2,250 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9200_chart.svg,,,,
92001,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹45,000 crore, what is the combined amount for Insurance and Companies?","यदि कुल सदस्यता ₹45,000 करोड़ है, तो Insurance और Companies की संयुक्त राशि क्या है?","₹4,500 crore",,"₹9,000 crore",,"₹2,250 crore",,"₹6,750 crore",,A,"Calculation: (5% + 5%) = 10% of 45,000 = ₹4,500 crore","गणना: (5% + 5%) = 45,000 का 10% = ₹4,500 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9200_chart.svg,,,,
92002,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"What is the difference in amount between FII and Pension Funds (in crores) if total is ₹45,000 crore?","यदि कुल ₹45,000 करोड़ है, तो FII और Pension Funds की राशियों में क्या अंतर है (करोड़ में)?","₹17,100 crore",,"₹19,350 crore",,"₹14,850 crore",,"₹12,600 crore",,C,"Calculation: (38% - 5%) = 33% of 45,000 = ₹14,850 crore","गणना: (38% - 5%) = 45,000 का 33% = ₹14,850 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9200_chart.svg,,,,
92003,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹45,000 crore, what is the amount for the sector with the highest percentage (Pension Funds)?","यदि कुल सदस्यता ₹45,000 करोड़ है, तो सबसे अधिक प्रतिशत वाले क्षेत्र (Pension Funds) की राशि क्या है?","₹19,350 crore",,"₹21,600 crore",,"₹17,100 crore",,"₹14,850 crore",,C,"Calculation: 38% of 45,000 = ₹17,100 crore","गणना: 45,000 का 38% = ₹17,100 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9200_chart.svg,,,,
92004,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹45,000 crore, what is the amount for the sector with the lowest percentage (Insurance)?","यदि कुल सदस्यता ₹45,000 करोड़ है, तो सबसे कम प्रतिशत वाले क्षेत्र (Insurance) की राशि क्या है?","₹4,500 crore",,"₹2,250 crore",,"₹6,750 crore",,₹0 crore,,B,"Calculation: 5% of 45,000 = ₹2,250 crore","गणना: 45,000 का 5% = ₹2,250 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9200_chart.svg,,,,
92010,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹35,000 crore, what is the amount for FII?","यदि कुल सदस्यता ₹35,000 करोड़ है, तो FII की राशि क्या है?","₹3,500 crore",,"₹5,250 crore",,₹0 crore,,"₹1,750 crore",,D,"Calculation: 5% of 35,000 = ₹1,750 crore","गणना: 35,000 का 5% = ₹1,750 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9201_chart.svg,,,,
92011,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹35,000 crore, what is the combined amount for FII and Banks?","यदि कुल सदस्यता ₹35,000 करोड़ है, तो FII और Banks की संयुक्त राशि क्या है?","₹7,350 crore",,"₹2,100 crore",,"₹5,600 crore",,"₹3,850 crore",,D,"Calculation: (5% + 6%) = 11% of 35,000 = ₹3,850 crore","गणना: (5% + 6%) = 35,000 का 11% = ₹3,850 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9201_chart.svg,,,,
92012,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"What is the difference in amount between Insurance and Retail (in crores) if total is ₹35,000 crore?","यदि कुल ₹35,000 करोड़ है, तो Insurance और Retail की राशियों में क्या अंतर है (करोड़ में)?","₹-1,050 crore",,"₹2,450 crore",,"₹4,200 crore",,₹700 crore,,D,"Calculation: (7% - 5%) = 2% of 35,000 = ₹700 crore","गणना: (7% - 5%) = 35,000 का 2% = ₹700 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9201_chart.svg,,,,
92013,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹35,000 crore, what is the amount for the sector with the highest percentage (Companies)?","यदि कुल सदस्यता ₹35,000 करोड़ है, तो सबसे अधिक प्रतिशत वाले क्षेत्र (Companies) की राशि क्या है?","₹23,450 crore",,"₹26,950 crore",,"₹25,200 crore",,"₹21,700 crore",,A,"Calculation: 67% of 35,000 = ₹23,450 crore","गणना: 35,000 का 67% = ₹23,450 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9201_chart.svg,,,,
92014,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹35,000 crore, what is the amount for the sector with the lowest percentage (FII)?","यदि कुल सदस्यता ₹35,000 करोड़ है, तो सबसे कम प्रतिशत वाले क्षेत्र (FII) की राशि क्या है?","₹5,250 crore",,"₹1,750 crore",,₹0 crore,,"₹3,500 crore",,B,"Calculation: 5% of 35,000 = ₹1,750 crore","गणना: 35,000 का 5% = ₹1,750 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9201_chart.svg,,,,
92020,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹30,000 crore, what is the amount for Retail?","यदि कुल सदस्यता ₹30,000 करोड़ है, तो Retail की राशि क्या है?","₹3,000 crore",,"₹1,500 crore",,"₹4,500 crore",,₹0 crore,,B,"Calculation: 5% of 30,000 = ₹1,500 crore","गणना: 30,000 का 5% = ₹1,500 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9202_chart.svg,,,,
92021,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹30,000 crore, what is the combined amount for Retail and Insurance?","यदि कुल सदस्यता ₹30,000 करोड़ है, तो Retail और Insurance की संयुक्त राशि क्या है?","₹7,200 crore",,"₹8,700 crore",,"₹11,700 crore",,"₹10,200 crore",,B,"Calculation: (5% + 24%) = 29% of 30,000 = ₹8,700 crore","गणना: (5% + 24%) = 30,000 का 29% = ₹8,700 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9202_chart.svg,,,,
92022,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"What is the difference in amount between Mutual Funds and NRI (in crores) if total is ₹30,000 crore?","यदि कुल ₹30,000 करोड़ है, तो Mutual Funds और NRI की राशियों में क्या अंतर है (करोड़ में)?","₹15,000 crore",,"₹13,500 crore",,"₹16,500 crore",,"₹12,000 crore",,B,"Calculation: (50% - 5%) = 45% of 30,000 = ₹13,500 crore","गणना: (50% - 5%) = 30,000 का 45% = ₹13,500 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9202_chart.svg,,,,
92023,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹30,000 crore, what is the amount for the sector with the highest percentage (Mutual Funds)?","यदि कुल सदस्यता ₹30,000 करोड़ है, तो सबसे अधिक प्रतिशत वाले क्षेत्र (Mutual Funds) की राशि क्या है?","₹18,000 crore",,"₹15,000 crore",,"₹13,500 crore",,"₹16,500 crore",,B,"Calculation: 50% of 30,000 = ₹15,000 crore","गणना: 30,000 का 50% = ₹15,000 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9202_chart.svg,,,,
92024,upsssc_pet,Data Interpretation,Data Interpretation (Pie),Medium,"If the total subscription is ₹30,000 crore, what is the amount for the sector with the lowest percentage (NRI)?","यदि कुल सदस्यता ₹30,000 करोड़ है, तो सबसे कम प्रतिशत वाले क्षेत्र (NRI) की राशि क्या है?","₹3,000 crore",,"₹4,500 crore",,"₹1,500 crore",,₹0 crore,,C,"Calculation: 5% of 30,000 = ₹1,500 crore","गणना: 30,000 का 5% = ₹1,500 crore",upsssc_pet_4,Draft,,,,/question-images/nonverbal/di_pie_9202_chart.svg,,,,
